A,B,C
DR.PRAMOD BAGAWADE - KARANJI,,
DR.PRAKASH DHULANGE - SOLAPUR,,
DR.PRAKASH DHULANGE  - SOLAPUR,,
DR.PRAJAKTA TALATHI - MUMBAI,,
DR.PRADEEPKUMAR JAIN  - PUNE,,
DR.PRACHI MATTE - NAGPUR,,
DR.PRACHI MATTE  - NAGPUR,,
DR.PARAG TELANG  - MUMBAI,,
DR.PANKAJ GUPTA  - MUMBAI,,
DR.PANCHAL  - OSMANABAD,,
DR.PALVADE  - AURANGABAD,,
DR.PALLAVI BHARVE - MUMBAI,,
DR.PALLAVI AHIRE - PUNE,,
DR.P.SIVABHARATHI - COIMBATORE,,
DR.P RAMASUBRAMANIAN - MADURAI,,
DR.P K BHAKAT - PURULIA,,
DR.NYLA ISHTYAQUE - AURANGBAD,,
DR.NYALA ISTIYAQYEE - AURANGABAD,,
DR.NYALA ISTIYAQYEE  - AURANGABAD,,
DR.NYALA ISHTYAQEE - AURANGABAD,,
DR.NOOTAN SINGH - LUCKNOW,,
DR.NITIN JAIN - PUNE,,
DR.NITIN DHEPE  - PUNE,,
DR.NITIN BHALME - NAGPURE,,
DR.NITIN BALMA - WARDHA,,
DR.NIKITA TEVAR - MUMBAI,,
DR.NEHA SANGHVI - MUMBAI,,
DR.NEHA KHARE - NASIK,,
DR.NAZIZ IZHAR  - BEED,,
DR.NAINA AJMERA - MUMBAI,,
DR.NAINA AJMERA  - MUMBAI,,
DR.N.T.RAJESH - COIMBATORE,,
DR.N.SUDHAKAR - CHENNAI,,
DR.N.S. KRANTHI KUMAR - HYDERABAD,,
DR.N MADHUKAR - KARIMNAGAR,,
DR.MUTHAL  - NAGPUR,,
DR.MRIDULA.P TRINITY RADIANCE - PALAKKAD,,
DR.MOHNISH BOLI - SOLAPUR,,
DR.MOHNISH BOLI  - SOLAPUR,,
DR.MINU MENON - MUMBAI,,
DR.MINAKSHI CHAUHAN - MUMBAI,,
DR.MILLI SHAH - MUMBAI,,
DR.MILIND SALGARM  - SOLAPUR,,
DR.MILIND DESHMUKH - NASHIK,,
DR.MILI B. SHAH - MUMBAI,,
DR.MERU  - SOLAPUR,,
DR.MENKUDALE  - SOLAPUR,,
DR.MEGHNA MOUR - MUMBAI,,
DR.MEGHANA MOUR - MUMBAI,,
DR.MEENU BARARA  - DELHI,,
DR.MAXIM D'MELLO - MUMBAI,,
DR.MANU ARUN - CHENNAI,,
DR.MANSHINSINGH SHINDE - GOA,,
DR.MANSHINGH SHINDE  - KOLHAPUR,,
DR.MANSAK SHIHSAK - DELHI,,
DR.MANJUSHA KURUWA - MUMBAI,,
DR.MANJIRI JAGTAP - MUMBAI,,
DR.MANJIRI DESHMUKH - AURANGBAD,,
DR.MANILAL DUTTA GUPTA  - HOWRAH,,
DR.MANGESH PRABHULKAR - MUMBAI,,
DR.MANAS PUHAN  - CUTTACK,,
DR.MANALI MATHURIA - MUMBAI,,
DR.MAJUSHA KURUWA - MUMBAI,,
DR.MAHURKAR - NAGPUR,,
DR.MAHESH PATEL - SURAT,,
DR.MAHESH MANISHA - CHENNAI,,
DR.MAHESH JADHAVANI  - NAGPUR,,
DR.MAHENDRA SONUANE - AURANGABAD,,
DR.M.PREETHA - RASIPURAM,,
DR.M.M KATHPAL - MUMBAI,,
DR.M.KUMARESAN - CHENNAI,,
DR.M.CHAKARAVARTHI - ERODE,,
DR.M.BOLLI - SOLAPUR,,
DR.M SALGAR  - SOLAPUR,,
DR.LOKESH JAPPA  - NAGPUR,,
DR.LAXMIKANT .K. DESAI - MUMBAI,,
DR.KSHITIJA RAO - MUMBAI,,
DR.KRISHNA KUMAR RAI - MANGALORE,,
DR.KRANTI BHORE  - BEED,,
DR.KOTA PATIL - SOLAPUR,,
DR.KOTA PATIL  - SOLAPUR,,
DR.KOLHAPURE  - SOLAPUR,,
DR.KJ KARRUNYA - CHENNAI,,
DR.KIRAN - MUMBAI,,
DR.KINJAL MISTRY - MUMBAI,,
DR.KHELIYA  - PUNE,,
DR.KHEDIA  - AKOLA,,
DR.KHAMBAYTE  - AURANGABAD,,
DR.KETAN SHAH - MUMBAI,,
DR.KAVITHA R. - HYDERABAD,,
DR.KANDHARI'S - NEW DELHI,,
DR.KANCHAN SRIVASTVA - VARANASI,,
DR.K.S.SRIDEVI - ERODE,,
DR.K.KANNAMBAL - CHIDAMBARAM,,
DR.K.B.KAVITHA - KARUR,,
DR.K.A.SREEVALSAN - TRICHUR,,
DR.JYOTI SANGHAVI  - PUNE,,
DR.JYOTI AGARKAR  - MUMBAI,,
DR.JYOTHY K - COIMBATORE,,
DR.JITENDRA SINGH RUHELA - MUZAFFARNAGAR,,
DR.JAYA LAKSHMI - HYDERABAD,,
DR.JALPA KAPADIA  - MUMBAI,,
DR.J.K.MITTAL - JAIPUR,,
DR.J KOTAPATIL - SOLAPUR,,
DR.ITWADE - SOLAPUR,,
DR.ITWADE  - SOLAPUR,,
DR.HRISHIKESH BELSARE - NAGPUR,,
DR.HIMANSHU MARU - MUMBAI,,
DR.HEMANT TALNIKAR  - PUNE,,
DR.HARMEET KAUR - AGRA,,
DR.HARANATH PALIVELA - HYDERABAD,,
DR.GIRISH SHAH - SURAT,,
DR.GOVIND KALE - AURANGABAD,,
DR.GOVIND KALE  - AURANGABAD,,
DR.GOPAL PRASAD  - PATNA,,
DR.GIRISH KALE  - SOLAPUR,,
DR.GHANSHYAM SWAMI  - JAIPUR,,
DR.GEETHA VAIDYAM - HYDERABAD,,
DR.GEETANJALI SHETTY - MUMBAI,,
DR.GEETA SHARMA - LUCKNOW,,
DR.GAYATHRI - CHENNAI,,
DR.GAVADE  - SOLAPUR,,
DR.GAURI B. CHAVAN - MUMBAI,,
DR.TEJA KULKARNI - NASHIK,,
DR.TARIQ IQBAL - AURANGABAD,,
DR.TARACHAND - MUZAFFARNAGAR,,
DR.TANMOY ROY CHOUDHURY  - DURGAPUR,,
DR.TAMKANAT FATIMA - MUMBAI,,
DR.T.S.EKAMBARANATH - CHENNAI,,
DR.T.K.BANERJEE  - KOLKATA,,
DR.T RAJEEV SINGH - HYDERABAD,,
DR.T ARUNNAPURNA - HYDERABAD,,
DR.SWATI PATIL - PUNE,,
DR.SUYASH NAIK - NASIK,,
DR.SUYASH NAIK  - NASHIK,,
DR.SUSHMA RAMANAGOUDRA - BENGALURU,,
DR.SUSHMA GHARGE  - PUNE,,
DR.SURJUSE  - YAVATMAL,,
DR.SURESH CHAWARE  - NAGPUR,,
DR.SURESH CHAVARE - NAGPUR,,
DR.SURESH BEHRANI - MUMBAI,,
DR.SURESH - HYDERABAD,,
DR.SUNITA NAIK - MUMBAI,,
DR.SUNIL VARTAK - NASIK,,
DR.SUNIL VARTAK  - NASHIK,,
DR.SUNIL NAIKWADE  - BEED,,
DR.SUNIL LAD - SOLAPUR,,
DR.SUNIL LAD  - SOLAPUR,,
DR.SUKHDEV KHARANDE  - AKLUJ,,
DR.SUKANYA BANERJEE  - KOLKATA,,
DR.SUGUNAVATHI - GUDIVADA,,
DR.SUDARSHAN GAVKAR  - KOLHAPUR,,
DR.SUCHITA PARAB  - MUMBAI,,
DR.SONAM JESWANI  - MUMBAI,,
DR.SINDHURA ARNI - HYDERABAD,,
DR.SIMPLE AHER  - MUMBAI,,
DR.SIMIRAN MEHTA - DEHRADUN,,
DR.SHYAM SANGIRAM  - SANGAMNER,,
DR.SHUBHANGI BAMBURDE  - MUMBAI,,
DR.SHREYA AGRAWAL - HANUMANGARH,,
DR.SHRADDHA CHOUDHARI - NASIK,,
DR.SHOBHA SANGHAVI  - PUNE,,
DR.SHIVANI MANE - NAGPUR,,
DR.SHIVAJI GEETE  - AURANGABAD,,
DR.SHILA ROHATGI  - KOLKATA,,
DR.SHETTAL KULKARNI  - PUNE,,
DR.SHEETAL KOTHEKAR - PUNE,,
DR.SHANKARI - CHENNAI,,
DR.SAYALI PATIL - NASIK,,
DR.SAURABH KAPADIA - GHANDHINAGAR,,
DR.SATISH AGGRAWAL - AGRA,,
DR.SASIKUMAR MUTHU - CHENNAI,,
DR.SARITA KALWANIA - JODHPUR,,
DR.SAPNA PAREKH  - PUNE,,
DR.SANTOSH PANCHAL - SOLAPUR,,
DR.SANTOSH BAJAJ  - LATUR,,
DR.SANJIV SHAH - DELHI,,
DR.SANJAY MANEKAR  - NASHIK,,
DR.SANJAY DYANI - NAGPUR,,
DR.SANJAY DAYNI  - NAGPUR,,
DR.SANJAY DAYANI - NAGPUR,,
DR.SANJAY BHIVGADE - MUMBAI,,
DR.SANJAY AGRWAL  - NAGPUR,,
DR.SANJAY AGARWAL  - AMRAVATI,,
DR.SANGEETHA DEVI - VELLORE,,
DR.SANGEETA BHAMBURKAR - AKOLA,,
DR.SANDIPAN SABDE - LATUR,,
DR.SANDIPAN SABADE - LATUR,,
DR.SANDHYA RAO - MUMBAI,,
DR.SAMRAT GUTTE - AURANGABAD,,
DR.SAMRAT GUTTE  - AURANGABAD,,
DR.SAMRAT GUTE - AURANGABAD,,
DR.SAMKIT SHAH - VAPI,,
DR.SAMA RAIS - MUMBAI,,
DR.SALMAN BHOIRA - MUMBAI,,
DR.SAKSHI GUPTA - JAIPUR,,
DR.SADANAND NAYAK - NASIK,,
DR.SACHIN KUMAR  - DELHI,,
DR.SACHIN CHAUDHARI - MUMBAI,,
DR.S.NITHYA PRIYADHARSHINI - CHENNAI,,
DR.S.N KULKARNI  - SOLAPUR,,
DR.S.K.SARKAR  - KOLKATA,,
DR.S.DINESH PONRAJ - CHENNAI,,
DR.S.CHANDRAMOHAN - CHENNAI,,
DR.S.ADIKRISHNAN - CHENNAI,,
DR.S.A.MOHIT  - CHINSURAH,,
DR.S. PHOFALE  - OSMANABAD,,
DR.S. M. JAIN - GWALIOR,,
DR.RUSHI SHAIKH - AURANGABAD,,
DR.RUCHITA SHAH - MUMBAI,,
DR.ROHAN ANAND  - PUNE,,
DR.RIZWAN HAQ - NAGPUR,,
DR.RIZWAN HAQ  - NAGPUR,,
DR.RIYAZ AAMIR - NAGPUR,,
DR.RINKY KAPOOR - MUMBAI,,
DR.RINKU SHAH  - BARODA,,
DR.RICHA SHARMA  - CENTRAL DELHI,,
DR.RICHA SANMUKHANI - AHMEDABAD,,
DR.REKHA SETH - MUMBAI,,
DR.RAVINDRA RATHOD - MUMBAI,,
DR.RASHMI SHETTY - MUMBAI,,
DR.RASHMI SHETTY  - MUMBAI,,
DR.RASHMI MODAK - MUMBAI,,
DR.RANI SHAH - SURAT,,
DR.RAMESH KOTHARI  - SANGAMNER,,
DR.RAMESH KOTHARE - NASIK,,
DR.RAMESH GOSAVI  - SANGAMNER,,
DR.RAMAKANT BHEMDE - AURANGABAD,,
DR.RAJSHRI PATIL  - PUNE,,
DR.RAJESH.K.R - MANGALORE,,
DR.RAJENDRA SHINDE - PUNE,,
DR.RAJAT KAPOOR - MUMBAI,,
DR.RAHUL AMBALE  - SOLAPUR,,
DR.RAHUL AMBALE   - SOLAPUR,,
DR.RAHANGDALE  - BHANDARA,,
DR.RACHANA SAMPATKAR  - KOLHAPUR,,
DR.R.MUTHU - CHENNAI,,
DR.R.MEENA - CHENNAI,,
DR.R.MARINA CLEMENT - TRICHY,,
DR.PRIYAL GALA - MUMBAI,,
DR.PRIYA MOHAN - CHENNAI,,
DR.PRATIBHA GUPTA - MUMBAI,,
DR.PRASHANT PALWADE - AURANGABAD,,
DR.PRASHANT PALAVDE - AURANGABAD,,
DR.PRASHANT JADHAV  - JALGAON,,
DR.PRASENJEET MOHANTY - CUTTACK,,
DR.PRANSHU MISHRA - LUCKNOW,,
DR PANKIL PATEL - BARODA,,
DR KALAIKUMAR - TIRUNELVELI,,
DR KALAIKUMAR - MADURAI,,
DR RAGHU RAJA - AMRITSAR,,
DR MAYANK SINHA - RAIPUR,,
DR GAYATHRI RAJESH-CHENNAI,,
DR ANITA JAIN-GUWAHATI,,
DR SONAL TINNA - JALALABAD,,
DR SHILPA SANKPAL-MUMBAI CENTRAL,,
DR M.SUBRAMANYASWAMY-VIJAYAWADA,,
DR RICKSON PAREIRA - MUMBAI WESTERN,,
DR.ASHIS KUMAR PATEL-ROURKELA,,
DR RAMESH GOSAVI - PUNE,,
DR.SAKSHI SRIVASTAVA-NOIDA,,
DR POONAM VIDHATE - PUNE,,
DR. D.K. PATWA-ALLAHABAD,,
DR PALLAVI MURKEY - AKOLA,,
DR AMIT NIKAM - NAGPUR,,
DR ASHISH RAUT - MUMBAI WESTERN,,
DR SAKEENA - NOIDA,,
DR SWATHI NEELAGIRI RAO-HYDERABAD,,
DR.B.K RAI-LUCKNOW ,,
DR CHETANA.P.R.-BENGALURU,,
DR THANSIHA NARGIS-KANNUR,,
DR NIDHI SHARMA-AMRITSAR,,
DR RAVDEEP SINGH - SIRHIND,,
DR.SUNIL KARALE-PUNE,,
DR MAITRI PATEL-AHMEDABAD,,
DR.ASRAFUL A MIRZA-BURDWAN,,
DR.SWETAL SHAH - BARODA,,
DR. ROHITH KUMAR - KUMBAKONAM,,
DR. PAVITHRA - SALEM,,
DR.SAJID MUGHAL-PUNE,,
DR RONAK CHOUDHURY-ANGUL,,
DR.V.G.KOTHANDAPANI-VELLORE,,
DR ARUSHI DUDEJA- NEW DELHI,,
DR NEHA TEHALIYANI - AHMEDABAD,,
DR JEMISH PATEL-AHMEDABAD,,
DR P JAYA PRAKASH-VIJAYAWADA,,
DR R KUMAR - GORAKHPUR,,
DR AYUSH KUMAR AGARWAL-BAREILLY,,
DR KANCHAN SRIVASTAVA-LUCKNOW,,
DR DIPANJALI SINGH-LUCKNOW,,
DR AYUSH AGRAWAL-PILIBHIT,,
DR.SHAIKH MOHAMMED KAYUM-LUCKNOW,,
DR.RADHALAKSHMI SENTHIL-CHENNAI,,
DR.INDRA-TIRUNELVELI,,
DR.SHANMUGA PRIYA-MADURAI,,
DR MAHESH AHIRRAO - NASHIK,,
DR G.JYOTSNA-HYDERABAD,,
DR SHIVANI RATHI-HYDERABAD,,
DR G.RAGHU RAMA RAO-HYDERABAD,,
DR DILIMPAO PAMEI-GUWAHATI,,
DR SUGANYA NAIDU - BENGALURU,,
DR CHETHAK NAIK - BENGALURU,,
DR KAHUKA SEMA - GUWAHATI,,
DR JASMINE KAUR-PATIALA,,
DR NAVDEEP KAUR-PATIALA,,
DR VISHNU ROSHINI - HYDERABAD,,
DR THRIMURTHULU RAYUDU - HYDERABAD,,
SHRI KUMAR CHEMIST ( PGI ) - CHADIGARH,,
SDMH PHARMACY - JAIPUR,,
SANTHI PHARMA  - CALICUT,,
DR SAJJAN R. AGARWAL - HYDERABAD,,
DR S.PRATAP RAO - HYDERABAD,,
DR S.B.KAVITHA - HYDERABAD,,
DR S.B.CHIKHALKAR - MUMBAI,,
ROYAL MEDICAL STORE P.G.I  - CHADIGARH,,
RITA SKIN FOUNDATION  - KOLKATA,,
DR RAVALI PEDDI - HYDERABAD,,
PANKAJ MEDICALS  - TRICHUR,,
NEO CLINIC  - JAIPUR,,
DR NAYNA AJMERA - MUMBAI,,
NAHAS SKIN CLINIC  - CALICUT,,
DR N SREENIVAS - JAGITYAAL,,
MILITARY HOSPITAL  - AJMER,,
MEDISYS PHARMACY  - JAIPUR,,
DR M.SREEDEVI - HYDERABAD,,
DR M.RAJITHA - HYDERABAD,,
DR M.BHRAMARAMBA S.A.V - HYDERABAD,,
LISA SKIN CLINIC  - CALICUT,,
DR K.V.T.GOPAL - HYDERABAD,,
DR K.HARISH KUMAR - HYDERABAD,,
DR J.MAHESH REDDY - HYDERABAD,,
DR I.LINGAMURTHI - HYDERABAD,,
HYATT CLINIC  - MALLAPURAM,,
DR HARSHITA REDDY - HYDERABAD,,
DR H.SARITHA - HYDERABAD,,
H.P. STATE CIVIL SUPPLIES CORPORATION ( IGMC SHIMLA ) - SHIMLA,,
DR G.AJAY KUMAR - HYDERABAD,,
FORTIS HOSPITAL  - JAIPUR,,
DR.Â GURUPRASAD - GULBARGA,,
DR.YUVRAJ MORE - PUNE,,
DR.YATU NAKHAWA  - MUMBAI,,
DR.YANGESH KOTIYAL - DEHRADUN,,
DR.Y ZAWAR - NAGPUR,,
DR.VRISHALI WALINJKAR - MUMBAI,,
DR.VNASHREE VEBIN - PUNE,,
DR.VIVEK RUNGTA  - JAIPUR,,
DR.VINOD MUHURKAR - NAGPUR,,
DR.VINOD MAHURKAR - NAGPUR,,
DR.VINEET DUBEY  - CHANDRAPUR,,
DR.VINAYAK REVANKAR - SOLAPUR,,
DR.VIJAYKUMAR PHAD - SOLAPUR,,
DR.VIJAY PATIL  - MUMBAI,,
DR.VEENET DUBEY - NAGPUR,,
DR.VARUN SARIN - DEHRADUN,,
DR.VANASHREE VEBIN  - PUNE,,
DR.VANAASHREE VEBIN - PUNE,,
DR.VAISHLI BORADE - NASIK,,
DR.VAISHALI VEBIN - PUNE,,
DR.VAISHALI BORADE - NASIK,,
DR.UNDE  - SANGAMNER,,
DR.UDYAN CHINDARKARS - MUMBAI,,
DR.UDAYGIRKAR  - OSMANABAD,,
DR.UDAY KULKARNI  - AURANGABAD,,
DR.TUVRAJ MORE - PUNE,,
DR.TRIVEDI - MUMBAI,,
DR.THILAGAVATHI - COIMBATORE,,
T.C MANOHAR - KARIMNAGAR,,
DR SANDHYA RANI - BENGALURU,,
DR ANUJ BHUT - AHMEDABAD,,
DR RAJ RAMAN - PANIPAT,,
DR LAVANYA M S - BENGALURU,,
DR ANITA K JAIN - DELHI,,
DR SYED ARIF - SRINAGAR,,
DR ANNU JAYAN - ERNAKULAM,,
DR RADHIKA S BHAT - KANNUR,,
DR PURVA BAMBANIYA - AHMEDABAD,,
DR DIVYASHREE S - BELLARY,,
DR AVINASH - BENGALURU,,
DR VINEET GUPTA - JAGADHARI,,
DR ADITI JAISWAL- HYDERABAD,,
DR.ZIAUL HAQUE AHMED - GUWAHATI,,
DR PRAKASH KUMAR - DELHI,,
N.L. SIRISHA - ANDHRA PRADESH,,
DR MEGHANA KOMSANI - HYDERABAD,,
DR INDU B - ERNAKULAM,,
DR SWETHA P - BENGALURU,,
DR. PRATIBHA  SINGH - KANPUR,,
DR SIDDHARTH SAIKIA-AHMEDABAD,,
DR ARTH KOSHIA-AHMEDABAD,,
DR MEGHNA SHARMA - RAJPURA,,
DR D DHARANI - VELLORE,,
DR T ARUNPRAKASH - VELLORE,,
DR NIKITA DESHMUKH-PUNE,,
DR KOSARAJU SUSHMA – VIJAYAWADA,,
DR NAVEEN CHANDRA ATLURU – HYDERABAD,,
DR POORNIMA - CHENNAI,,
DR MANJULA - TRICHY,,
DR KHYATI PATEL – AHMEDABAD,,
DR SUBBURAJA RAGHAVAN-TIRUNELVELI,,
DR B.N GUPTA - LUCKNOW,,
DR RITUPURNA DASH - NOIDA,,
DR AKANKSHA SINGH - BENGALURU,,
DR SUMAN ODUGOUDAR - BENGALURU,,
DR JAYASHREE COIMBATORE,,
DR NITIKA WAGH - PUNE,,
DR K.MONALISA - GUWAHATI,,
DR KIRTI S PAWAR - BENGALURU,,
DR V.B UPADHYAY - VARANASI,,
DR MONALI SUTRADHAR - GUWAHATI,,
DR NIDA KHAN-BENGALURU,,
DR VIDHYABARATHI - THANJAVUR,,
P LAVANYA-KARIMNAGAR,,
DR VINUTHA M M-BENGALURU,,
DR ASHIT GUPTA - GURGAON,,
DR VIKAS SHRIVASTAVA - KATNAI,,
DR PRADIP KR. BHAKAT - PURULIA,,
DR KEYUR SHAH - AHMEDABAD,,
DR DIVYAKANT CHAUHAN - AHMEDABAD,,
D Y MAHAJAN-JALGAON,,
DR PRAGYA B GUPTA - SUNAM-SANGRUR,,
DR SHREEKANTH YADAV PULGILLA,,
DR SIDIQ - SALEM,,
DR PANKAJ SONI (JIND),,
DR JASLEEN TULI - NAGPUR,,
DR AMIT SETH - DELHI,,
DR PARAMJIT SINGH WALIA - CHANDIGARH,,
DR S.K KASHYAP - DELHI,,
DR T SINGH - LUCKNOW,,
DR PRADEEP-BOKARO,,
DR SAVITHA RANAGOL - BENGALURU,,
DR SRIDHAR K S - BENGALURU,,
DR SONY K VARKEY - ERNAKULAM,,
DR SANDEEP BABBAR - DELHI,,
DR NARENDRA KAMATH-BENGALURU,,
DR AKSHATHA C ALVA-BENGALURU,,
DR SANCHIKA GUPTA - DELHI,,
DR SANJAY JAIN - DELHI,,
DR RAJIB GOGOI - GUWAHATI,,
DR.NISHA SRINIVAS - CHENNAI,,
DR CINTHANA NESAN - MADURAI,,
DR NEHA RAO MALLYA - CALICUT,,
DR S ATHILAKSHMI - CHENNAI,,
DR AVEENA JAIN - MUMBAI WESTERN,,
DR SAUMYA SHETTY - MUMBAI CENTRAL,,
DR KANCHAN AJWANI - MUMBAI CENTRAL,,
DR ISHITA RAKA PANDIT - AGRA,,
DR POOJA CHAUDHARY - HISSAR,,
DR SONIA REDDY - HYDERABAD,,
DR SUBHASH CHANDRA PODDAR-BASIRHAT,,
DR RANJITHA - BENGALURU,,
DR ABHIJIT BADVE-SOLAPUR,,
DR SUNIL KUMAR-PATIALA,,
DR VIJAYA BHASKAR MALLELA-HYDERABAD,,
DR M KRISHNA RAO - HYDERABAD,,
DR GOUTAM MAJUMDER - GUWAHATI,,
DR M PREM KUMAR - CHENNAI,,
DR SHEENA SINGH - SURAT,,
DR SHRUTHI CHIKKAIAH-BENGALURU,,
DR ABHIJIT SHINDE-JALGAON,,
DR P ARUNMOZHIVARMAN-VELLORE,,
DR DEEPALI KATAKE - PUNE,,
DR SHAIL AGARWAL - JHALAWAR,,
DR G.BOOPATHIRAJESKUMAR - MADURAI,,
DR JITHIN K RAJ - TRICHUR,,
DR NAMRATA SINGH - BENGALURU,,
DR ROKINI - ERODE,,
DR ASHIMA GOEL-CHANDIGARH,,
DR ABHILASHA M D-BENGALURU,,
DR SARIKA HOLMUKHE-MUMBAI,,
DR G SURESH-VIJAYAWADA,,
DR AISHWARA REDDY - HYDERABAD,,
DR AMIR SHAHID ANSARI - ALLAHABAD,,
DR GEETHA – VELLORE,,
DR K.R. SHALINI – VELLORE,,
DR LAKSHMI SURESH – VELLORE,,
DR SUJATHA - VIJAYAWADA,,
DR P VISWANATHAN - MADURAI,,
DR DARSHAN KAIRA-AHMEDABAD,,
DR AAQIB HASSAN-SRINAGAR,,
DR RAFIQ AHMAD WANI-SRINAGAR,,
DR JAYDEV PATEL-AHMEDABAD,,
DR JAMEENA CORNELI - ERNAKULAM,,
DR RAJESH RAO - BENGALURU,,
DR NIDHI PATEL - BARODA,,
DR THIKVIJAY-CHENNAI,,
DR.NIKITA JADHAV-MUMBAI CENTRAL,,
DR MANOJ SRINIVASA-BANGALORE,,
DR MEENAKSHI M - CHENNAI,,
DR PRAVIN KUMAR - TRICHY,,
DR SEENIVASAN - TIRUNELVELI,,
DR RAJENDRAN S C - BANGALORE,,
DR PRIYANKA PATIL - NAGPUR,,
DR PRITI SHENAI - MUMBAI,,
DR PALLAVI DHANYAN - CHENNAI,,
DR H.V.NATARAJ - BANGALORE,,
DR KARTHICK NAGARAJAN – VELLORE,,
DR RAGHAVENDRA JIGALIKOPPA - HAVERI,,
DR VISHAL CHADHA - NAGPUR,,
DR HITENDRA DESHMUKH - JALGAON,,
DR VIPIN JAIN - NOIDA,,
DR ATUL BOTHRA - GUWAHATI,,
DR PRANAVSINH RAJ - BARODA,,
DR AJAY PARIKH - BARODA,,
DR KAMAL K JHAMNANI - HYDERABAD,,
DR AYJAZ AH BHAT - SRINAGAR,,
DR KAKSHA SHAH – AHMEDABAD,,
DR VIMMY MODY - BATHINDA,,
DR M.V.SUBBA REDDY - VIJAYWADA,,
DR.M.RADHAMANI - MADURAI,,
DR JISHA JOHN GOMEZ - BANGALORE,,
DR ALARSHANTHI-TIRUNELVELI,,
DR NEHA V – CHENNAI,,
DR GUNJAN - PANCHKULA,,
DR P K SINGH-MUZAFFARPUR,,
DR B SRIDHAR - CHENNAI,,
DR VIJAY SAINI - AHMEDABAD,,
DR ASHWINI PADMAVAR - MUMBAI CENTRAL,,
DR KHALID AZIZ TAK-ANANTHNAG,,
DR VIJETHA RAI - MANGALORE,,
DR GURPAL SINGH CHHABDA - RAIPUR,,
DR MANDEEP BHUKHAR - ROHTAK,,
DR PRATIBHA GUPTA - MUMBAI WESTERN,,
DR BASAVARAJ.G.VANDAL - VIJAYAPURA,,
DR DEEPSHIKHA -  DELHI,,
DR IFFAT HASSAN SHAH - SRINAGAR,,
BONDICHARLA MANJULA - HYDERABAD,,
DR VINEETHA K - KANNUR,,
DR V SEENIVASAN - COIMBATORE,,
DR KHUSHABU PATIL - MUMBAI CENTRAL,,
DR SAMRIDHI MINHAS - DELHI,,
DR P SAMINA-BERHAMPUR,,
DR AJITESH PRAKASH VARSHNEY-PILIBHIT,,
DR SUJOY GHOSH - AYODHYA,,
DR BRINDHA THANGARAJ – TRICHY,,
DR ARULRAJ RUSSELIAN – CHENNAI,,
DR SHIVKARAN JAGRAT - NAWALGARH,,
DR DHIRAJ CHINTAWAR-NAGPUR,,
DR RIKITA PATE-PUNE,,
NAMRATHA DAMERA-HYDERABAD,,
DR NIRALI MODI - BARODA,,
DR SWATHI KAMMILI - HYDERABAD,,
DR SHWETA AGGARWAL - DELHI,,
DR RAJAMYIL - VELLORE,,
DR ARUN GUNASEKARAN - VELLORE,,
DR M S TOMAR-DELHI,,
DR PRAKASH KHUTEE - DELHI,,
DR PRIYANKA SHARMA-JAIPUR,,
DR.S.R .SATHYA-CHENNAI,,
DR NEHA GUPTA - BENGALURU,,
DR ATUL NARSALE - PUNE,,
DR MANU AGARWAL - DELHI,,
DR GEETA SHARMA - KANPUR,,
DR. KULDEEP VERMA - JHANSI,,
DR PRAVEEN BHARDWAJ - BENGALURU,,
DR DEBIDUTTA NAYAK - CUTTACK,,
DR MANJULATA DASH - CUTTACK,,
DR IVOREEN DARUNG - GUWAHATI,,
DR R DINESH RAJ - CHENNAI,,
DR D SHOBHA REDDY - HYDERABAD,,
DR MANSI KANSAL - SIRHIND,,
DR S K TAMILI - EAST MEDINIPUR,,
DR SHEENAM SHARMA - CHANDIGARH,,
Dr. BISHRUL HAFI  NA - CALICUT,,
DR RAJESH SINGH - NAGPUR,,
DR PRASOON SACHAN - GORAKHPUR,,
DR JAYSUDHA KOTA PATIL - SOLAPUR,,
DR BISHRUL HAFI NA - ERNAKULAM,,
DR GEORGE VARGHESE - ERNAKULAM,,
DR RASHMI RASTOGI - KANPUR,,
DR.S.JEYAVASANTH - CHENNAI,,
DR ANUPAMA M P - BENGALURU,,
DR PRASHANT MEDESHIA - RUPAIHDIA,,
DR UPAVAN PANDYA - UDAIPUR,,
DR.VATTI GANGA BHAVANI - VIJAYAWADA,,
DR.PADMAVATHY - MADURAI,,
DR PALLAVI SHARMA - UDHAMSINGH NAGAR,,
DR. P. K. SINGH-MUZAFFARPUR,,
DR CHETNA BHARDWAJ - PHAGWARA,,
DR T.SHRI SINDHUJA - CHENNAI,,
DR.M SUBRAMANYASWAMY - NANDYAL,,
DR UJJAWALA VERMA - RAIPUR,,
DR VINAY SINGH - DELHI,,
DR M ARUN KUMAR - VELLORE,,
DR SAURABH GUPTA - NOIDA,,
DR SOMA SARKAR,,
DR NIHARIKA - BANGALORE,,
DR N SREENIVAS - KARIMNAGAR,,
DR PEDDI NAGARAJU - KARIM NAGAR,,
DR M.JAYANTH - HYDERABAD,,
DR MAYANK GAUR -  DELHI,,
DR R.K GAUR - DELHI,,
DR KRUNAL TRALSAWALA - BARODA,,
ANAND KUMAR REDDY - TIRUPATHI,,
DR SMITA PRIYADARSHNI - DELHI,,
DR GEETA MEHRA FAZALBHOY - MUMBAI WESTERN,,
DR PRIYA.K.S. - BANGALORE,,
Dr. SWATHY KRISHNA S - KOLLAM,,
DR SHARON PAULSON-TRIVANDRUM,,
